Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Regent Park, Harbourfront",43.6542599,-79.3606359,Izumi,43.6499697935016,-79.36015326451906,Asian Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,Oriental Taste,43.655304,-79.365312,Chinese Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,Mengrai Gourmet Thai,43.654102,-79.3668,Thai Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,BOKU,43.65001483887497,-79.36024123514828,Japanese Restaurant
"Regent Park, Harbourfront",43.6542599,-79.3606359,Lime Sushi,43.655771,-79.363776,Sushi Restaurant
"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Asian Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Sushi Box,43.66295954544153,-79.38657996066198,Sushi Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tokyo Grill,43.665085238149395,-79.38470692554789,Japanese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Colaba Junction,43.66094,-79.385635,Indian Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tokyo Sushi,43.665885330936845,-79.38697684868161,Sushi Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Sushi Garden,43.66485840073255,-79.38494112880176,Sushi Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Thai Express,43.66163,-79.38734,Thai Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Crown Princess Fine Dining 伯爵名宴,43.66645492941117,-79.38769789187712,Chinese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Mr. Tonkatsu,43.66438157920901,-79.38440717744646,Japanese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Not Just Noodles,43.664969727622335,-79.3846589877698,Chinese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Seoulicious,43.665304,-79.384902,Korean Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Duck,43.660739056022976,-79.38391327857971,Chinese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Thai Express,43.66162,-79.387636,Thai Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Teriyaki Experience,43.66007931016272,-79.38819408416748,Japanese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Thai Fantasy,43.66506976184129,-79.38468883871423,Thai Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Manchu Wok,43.658808,-79.390989,Chinese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Tandori,43.66037739502107,-79.38468020304279,Indian Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Sushi Shop,43.66162,-79.387636,Sushi Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Hana Sushi,43.662029,-79.38458,Japanese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Ramen Raijin 雷神,43.6651907105415,-79.38597392728876,Ramen Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,E Sushi,43.66425280040932,-79.38417436177954,Japanese Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,Thai Bowl,43.66114813474454,-79.38370938361426,Thai Restaurant
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,China King,43.66066880084518,-79.38390494519587,Chinese Restaurant
