,University,Course,Term,Deadline,Rank,Rate,City/State
0,Syracuse University,Computer Science (Masters),Fall,"01 Jun, 2020 View",68,2.5,"Syracuse, NY"
1,Marquette University,Computational Electrical & Computer Engineering (Masters),Fall,"01 Jun, 2020 View",RNP,,"Milwaukee, WI"
2,Florida International University,Computer Science (Masters),Fall,"01 Jun, 2020 View",RNP,,"Miami, FL"
3,Florida International University,Computer Engineering (Masters),Fall,"01 Jun, 2020 View",RNP,,"Miami, FL"
4,Florida International University,Computer and Information Systems Security (Masters),Fall,"01 Jun, 2020 View",RNP,,"Miami, FL"
0,Syracuse University,Computational Electrical & Computer Engineering (Masters),Fall,"01 Jun, 2020 View",68,2.5,"Syracuse, NY"
1,Syracuse University,Computer Engineering (Masters),Fall,"01 Jun, 2020 View",68,2.5,"Syracuse, NY"
2,George Mason University,Computer Engineering (Masters),Fall (Final Deadline),"01 Jun, 2020 View",68,2.5,"Fairfax, VA"
3,Marquette University,Computer Science (Masters),Fall (Final Deadline),"01 Jun, 2020 View",RNP,,"Milwaukee, WI"
4,University of South Florida,Computer Science (Masters),Fall (Final Deadline),"01 Jun, 2020 View",102,2.1,"Tampa, FL"
5,Florida International University,Computer Engineering (Masters),Fall,"01 Jun, 2020",RNP,,"Miami, FL"
6,DePaul University,Product Innovation and Computing (Masters),Fall,"01 Jun, 2020 View",RNP,,"Chicago, IL"
7,Boston University,Computer and Information Systems Security (Masters),Fall,"01 Jun, 2020 View",49,3,"Boston, MA"
8,Boston University,Advanced Software Engineering (Masters),Fall,"01 Jun, 2020 View",49,3,"Boston, MA"
9,Georgia State University,Computer and Information Systems Security (Masters),Fall (Final Deadline),"01 Jun, 2020 View",RNP,,"Atlanta, GA"
10,Iowa State University,Computer and Information Systems Security (Masters),Fall,"01 Jun, 2020 View",61,2.7,"Ames, IA"
0,Syracuse University,Enterprise Data Systems (Masters),Fall,"01 Jun, 2020 View",68,2.5,"Syracuse, NY"
1,Syracuse University,Computer and Information Systems Security (Masters),Fall,"01 Jun, 2020 View",68,2.5,"Syracuse, NY"
2,Florida Institute of Technology,Computer Science (Masters),Fall,"08 Jun, 2020 View",RNP,,"Melbourne, FL"
3,Boston University,Applied Data Analytics (Masters),Fall,"10 Jun, 2020 View",49,3,"Boston, MA"
4,Drexel University,Computer Engineering (Masters),Fall,"13 Jun, 2020 View",82,2.3,"Philadelphia, PA"
5,Drexel University,Computer Science (Masters),Fall,"13 Jun, 2020 View",82,2.3,"Philadelphia, PA"
6,Drexel University,Advanced Software Engineering (Masters),Fall,"13 Jun, 2020 View",82,2.3,"Philadelphia, PA"
7,Drexel University,Computer and Information Systems Security (Masters),Fall,"13 Jun, 2020 View",82,2.3,"Philadelphia, PA"
8,Drexel University,Computer and Information Systems Security (Masters),Fall,"13 Jun, 2020 View",82,2.3,"Philadelphia, PA"
9,Drexel University,Engineering Technology (Masters),Fall,"13 Jun, 2020 View",82,2.3,"Philadelphia, PA"
10,Illinois Institute of Technology,Computer Engineering (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
11,Kent State University,Computer Science (Masters),Fall,"15 Jun, 2020 View",RNP,,"Kent, OH"
0,DePaul University,Computer Science (Masters),Fall,"15 Jun, 2020 View",RNP,,"Chicago, IL"
1,DePaul University,Computer and Information Systems Security (Masters),Fall,"15 Jun, 2020 View",RNP,,"Chicago, IL"
2,DePaul University,Network Engineering and Security (Masters),Fall,"15 Jun, 2020 View",RNP,,"Chicago, IL"
3,Auburn University,Advanced Software Engineering (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Auburn, AL"
4,Illinois Institute of Technology,Information Technology (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
5,Illinois Institute of Technology,Computer and Information Systems Security (Masters),Fall,"15 Jun, 2020 View",91,2.2,"Chicago, IL"
6,Illinois Institute of Technology,Computational Electrical & Computer Engineering (Masters),Fall,"15 Jun, 2020 View",91,2.2,"Chicago, IL"
7,Illinois Institute of Technology,Computer and Information Systems Security (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
8,Illinois Institute of Technology,Computational Electrical & Computer Engineering (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
9,Worcester Polytechnic Institute,Information Technology (Masters),Fall,"15 Jun, 2020 View",82,2.3,"Worcester, MA"
0,Illinois Institute of Technology,Computational Electrical & Computer Engineering (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
1,Illinois Institute of Technology,Advanced Software Engineering (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
2,Illinois Institute of Technology,Computer Engineering (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
3,Illinois Institute of Technology,Computer Science (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
4,Illinois Institute of Technology,Computer Science (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
5,Illinois Institute of Technology,Computer and Information Systems Security (Masters),Fall (Final Deadline),"15 Jun, 2020 View",91,2.2,"Chicago, IL"
6,Wright State University,Computer Science (Masters),Fall (Final Deadline),"30 Jun, 2020 View",RNP,,"Dayton, OH"
7,Arizona State University,Evaluation and Data Analytics (Masters),Fall,"30 Jun, 2020 View",43,3.1,"Tempe, AZ"
8,New Mexico State University,Computer Science (Masters),Fall,"01 Jul, 2020 View",RNP,,"Las Cruces, NM"
9,Florida State University,Information Technology (Masters),Fall,"01 Jul, 2020 View",82,2.3,"Tallahassee, FL"
10,Indiana State University,Computer Science (Masters),Fall,"01 Jul, 2020 View",RNP,,"Terre Haute, IN"
